응답자ID,성별,연령대,연령대(리코딩),거주지역,기후변화 관심도,기후변화 심각성 인식,기후변화 체감 영역,기후변화 원인 인식,기후변화 인권영향 인식,기후변화의 인간 영향,기후변화의 생명·건강 영향,기후변화가 본인 삶에 미치는 영향,피해 예상 집단,기후변화 정보 접촉 빈도,기후변화 정보 접촉 빈도(보조),기후변화 정보 접하는 수단,신뢰하는 정보 출처,정책 수립 시 고려사항,공청회·집회 참여 경험,기후변화 관련 대화 빈도,중요도_인력·예산 확대,중요도_기술개발,중요도_취약계층 보호,중요도_인식개선·홍보,중요도_국제협력,중요도_기타,정부 정책 평가,정부의 정보 공개 수준,정부의 정보 설명 수준,정부 정책에 의견 반영 정도,정부 정책에 의견 반영 정도(보조),시민 참여 형태,시민 참여 필요성,시민 참여 여지,시민 참여 의향,직업,최종학력,가구 월평균 소득,주관적 생활수준
225.0,남성,62.0,60대 이상,서울,어느정도 있다,어느정도 심각하다,폭염 강도 및 일수 증가,잘 모른다,잘 모른다,건강에 대한 잠재적 위협,폭염 또는 겨울 저온 현상 등 계절 온도 변화,어느정도 심각하다,"신체적 취약계층(노인, 장애인 등)",별로 접하지 않는다,별로 접하지 않는다,"텔레비전, 라디오(팟캐스트 포함)",신문/방송 뉴스,기후변화에 대응하기 위한 기술 개발 지원,전혀 참여하지 않았다,가끔 하고 있다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,전혀 못하고 있다,정책 수립 과정에 적극적으로 참여해야 한다,매우 필요하다,별로 열려 있지 않다,사안에 따라 다르다,기술/작업직,대학교(4년제),101~200만원,중하
226.0,남성,61.0,60대 이상,경남,어느정도 있다,매우 심각하다,생태계 파괴 및 생물다양성 훼손,어느정도 안다,잘 모른다,생명에 대한 잠재적 위협,식량 위기(농산물 공급 부족 및 가격상승),별로 심각하지 않다,농·어민,어느정도 자주 접한다,별로 접하지 않는다,"도서, 다큐멘터리","도서, 다큐멘터리",기후변화에 대응하기 위한 인력과 예산의 확대,참여한 적이 있다,가끔 하고 있다,매우 중요하다,중요한 편,매우 중요하다,매우 중요하다,매우 중요하다,중요한 편,어느 정도 잘하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,어느 정도 열려 있다,참여할 의향이 없다,무직/은퇴,대학원 이상(석/박사),401~500만원,중
227.0,여성,53.0,50대,경북,어느정도 있다,어느정도 심각하다,감염병 발생 및 증가,어느정도 안다,어느정도 안다,직업이나 경제적 자유에 대한 잠재적 침해,"태풍, 홍수, 폭우, 산불 증가 등 재난 발생",어느정도 심각하다,"신체적 취약계층(노인, 장애인 등)",어느정도 자주 접한다,어느정도 자주 접한다,신문/방송 뉴스,신문/방송 뉴스,기후변화에 대한 인식개선과 홍보·교육,참여한 적이 있다,가끔 하고 있다,중요한 편,중요한 편,중요한 편,매우 중요하다,중요한 편,매우 중요하다,별로 못하고 있다,별로 못하고 있다,전혀 못하고 있다,별로 못하고 있다,별로 못하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,별로 열려 있지 않다,사안에 따라 다르다,가정주부,고등학교,101~200만원,중상
228.0,여성,44.0,40대,서울,어느정도 있다,매우 심각하다,"폭우, 태풍 및 장마 증가",잘 모른다,어느정도 안다,적절한 식량과 물을 얻지 못할 우려,기후변화로 인한 감염병 발생,어느정도 심각하다,경제적 취약계층,별로 접하지 않는다,별로 접하지 않는다,신문/방송 뉴스,신문/방송 뉴스,기후변화에 대응하기 위한 기술 개발 지원,참여한 적이 있다,가끔 하고 있다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,중요한 편,어느 정도 잘하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,어느 정도 열려 있다,의견 제안 정도 참여할 의향이 있다,사무직,전문대학(2~3년제),201~300만원,중하
229.0,여성,31.0,30대,울산,매우 많다,어느정도 심각하다,"폭우, 태풍 및 장마 증가",어느정도 안다,어느정도 안다,적절한 식량과 물을 얻지 못할 우려,식량 위기(농산물 공급 부족 및 가격상승),별로 심각하지 않다,농·어민,어느정도 자주 접한다,별로 접하지 않는다,"소셜 미디어(유튜브, 블로그, 인스타그램)",신문/방송 뉴스,기후변화에 대한 인식개선과 홍보·교육,전혀 참여하지 않았다,전혀 하지 않는다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,중요한 편,중요한 편,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,전혀 못하고 있다,수립과정 공개 정도로 충분하다,어느 정도 필요하다,어느 정도 열려 있다,의견 제안 정도 참여할 의향이 있다,사무직,대학교(4년제),601~700만원,중
230.0,남성,53.0,50대,대구,매우 많다,매우 심각하다,폭염 강도 및 일수 증가,잘 모른다,잘 모른다,적절한 식량과 물을 얻지 못할 우려,식량 위기(농산물 공급 부족 및 가격상승),어느정도 심각하다,경제적 취약계층,어느정도 자주 접한다,별로 접하지 않는다,신문/방송 뉴스,신문/방송 뉴스,기후변화에 대한 인식개선과 홍보·교육,참여한 적이 있다,전혀 하지 않는다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,중요한 편,매우 중요하다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,전혀 못하고 있다,정책 수립 과정에 적극적으로 참여해야 한다,매우 필요하다,별로 열려 있지 않다,사안에 따라 다르다,사무직,대학교(4년제),501~600만원,중하
231.0,여성,31.0,30대,강원,매우 많다,전혀 심각하지 않다,폭염 강도 및 일수 증가,잘 모른다,전혀 모른다,건강에 대한 잠재적 위협,폭염 또는 겨울 저온 현상 등 계절 온도 변화,전혀 심각하지 않다,농·어민,전혀 접하지 않는다,전혀 접하지 않는다,"온라인 뉴스(포털, 온라인 신문기사)","환경단체 등 시민단체(그린피스, wwf, 환경운동연합 등)",기후변화에 취약한 계층 보호,전혀 참여하지 않았다,전혀 하지 않는다,전혀 중요하지 않다,매우 중요하다,중요한 편,중요하지 않은 편,매우 중요하다,중요한 편,전혀 못하고 있다,전혀 못하고 있다,전혀 못하고 있다,전혀 못하고 있다,전혀 못하고 있다,공무원이나 전문가가 전적으로 수립해야 한다,별로 필요없다,별로 열려 있지 않다,의견 제안 정도 참여할 의향이 있다,무직/은퇴,대학교(4년제),"1,001만원 이상",상
232.0,여성,43.0,40대,부산,어느정도 있다,어느정도 심각하다,"폭우, 태풍 및 장마 증가",잘 모른다,잘 모른다,적절한 주거환경을 누리지 못할 우려,"태풍, 홍수, 폭우, 산불 증가 등 재난 발생",별로 심각하지 않다,경제적 취약계층,별로 접하지 않는다,별로 접하지 않는다,"온라인 뉴스(포털, 온라인 신문기사)","도서, 다큐멘터리",기후변화에 취약한 계층 보호,전혀 참여하지 않았다,전혀 하지 않는다,중요한 편,중요하지 않은 편,중요한 편,중요한 편,중요한 편,중요한 편,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,별로 열려 있지 않다,사안에 따라 다르다,사무직,전문대학(2~3년제),701~800만원,중
233.0,여성,60.0,60대 이상,대구,매우 많다,매우 심각하다,생태계 파괴 및 생물다양성 훼손,어느정도 안다,어느정도 안다,건강에 대한 잠재적 위협,식량 위기(농산물 공급 부족 및 가격상승),어느정도 심각하다,농·어민,어느정도 자주 접한다,어느정도 자주 접한다,"온라인 뉴스(포털, 온라인 신문기사)",신문/방송 뉴스,기후변화에 대응하기 위한 기술 개발 지원,전혀 참여하지 않았다,가끔 하고 있다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,중요한 편,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,별로 열려 있지 않다,의견 제안 정도 참여할 의향이 있다,자영업,대학교(4년제),"901~1,000만원",중
234.0,남성,59.0,50대,대구,매우 많다,매우 심각하다,"폭우, 태풍 및 장마 증가",어느정도 안다,어느정도 안다,생명에 대한 잠재적 위협,"태풍, 홍수, 폭우, 산불 증가 등 재난 발생",어느정도 심각하다,농·어민,어느정도 자주 접한다,어느정도 자주 접한다,"온라인 뉴스(포털, 온라인 신문기사)","환경단체 등 시민단체(그린피스, wwf, 환경운동연합 등)",기후변화에 대한 인식개선과 홍보·교육,참여한 적이 있다,전혀 하지 않는다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,어느 정도 잘하고 있다,어느 정도 하고 있다,어느 정도 충분히 제공하고 있다,어느 정도 하고 있다,어느 정도 하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,어느 정도 열려 있다,의견 제안 정도 참여할 의향이 있다,자영업,대학교(4년제),701~800만원,중하
235.0,남성,48.0,40대,부산,어느정도 있다,매우 심각하다,"폭우, 태풍 및 장마 증가",잘 모른다,잘 모른다,적절한 식량과 물을 얻지 못할 우려,"태풍, 홍수, 폭우, 산불 증가 등 재난 발생",별로 심각하지 않다,"신체적 취약계층(노인, 장애인 등)",별로 접하지 않는다,별로 접하지 않는다,"도서, 다큐멘터리",신문/방송 뉴스,기후변화에 대응하기 위한 인력과 예산의 확대,전혀 참여하지 않았다,전혀 하지 않는다,매우 중요하다,매우 중요하다,중요한 편,매우 중요하다,중요한 편,중요한 편,별로 못하고 있다,어느 정도 하고 있다,별로 못하고 있다,별로 못하고 있다,어느 정도 하고 있다,수립과정 공개 정도로 충분하다,매우 필요하다,어느 정도 열려 있다,적극적으로 참여할 의향이 있다,전문직,대학교(4년제),601~700만원,중
236.0,남성,43.0,40대,서울,매우 많다,매우 심각하다,폭염 강도 및 일수 증가,어느정도 안다,어느정도 안다,생명에 대한 잠재적 위협,폭염 또는 겨울 저온 현상 등 계절 온도 변화,어느정도 심각하다,농·어민,어느정도 자주 접한다,어느정도 자주 접한다,"도서, 다큐멘터리","도서, 다큐멘터리",기후변화에 대응하기 위한 인력과 예산의 확대,전혀 참여하지 않았다,가끔 하고 있다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,중요한 편,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,별로 열려 있지 않다,의견 제안 정도 참여할 의향이 있다,사무직,대학원 이상(석/박사),501~600만원,중
237.0,남성,51.0,50대,서울,매우 많다,어느정도 심각하다,생태계 파괴 및 생물다양성 훼손,어느정도 안다,어느정도 안다,생명에 대한 잠재적 위협,기후변화로 인한 감염병 발생,어느정도 심각하다,경제적 취약계층,어느정도 자주 접한다,어느정도 자주 접한다,"텔레비전, 라디오(팟캐스트 포함)","소셜미디어(유튜브, 블로그, 등)",기후변화에 대응하기 위한 인력과 예산의 확대,가능한 자주 참여했다,가끔 하고 있다,중요한 편,중요한 편,매우 중요하다,매우 중요하다,중요한 편,매우 중요하다,매우 잘하고 있다,충분히 하고 있다,충분히 설명하고 있다,충분히 하고 있다,어느 정도 하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,어느 정도 열려 있다,의견 제안 정도 참여할 의향이 있다,사무직,대학교(4년제),701~800만원,중
238.0,여성,49.0,40대,울산,별로 없다,어느정도 심각하다,감염병 발생 및 증가,잘 모른다,잘 모른다,생명에 대한 잠재적 위협,식량 위기(농산물 공급 부족 및 가격상승),어느정도 심각하다,청소년,별로 접하지 않는다,별로 접하지 않는다,"텔레비전, 라디오(팟캐스트 포함)",가족·친구·회사동료,기후변화에 대한 인식개선과 홍보·교육,전혀 참여하지 않았다,가끔 하고 있다,중요한 편,중요한 편,매우 중요하다,중요한 편,중요하지 않은 편,전혀 중요하지 않다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,수립과정 공개 정도로 충분하다,별로 필요없다,어느 정도 열려 있다,사안에 따라 다르다,가정주부,고등학교,201~300만원,중하
239.0,남성,40.0,40대,대전,어느정도 있다,어느정도 심각하다,감염병 발생 및 증가,어느정도 안다,어느정도 안다,건강에 대한 잠재적 위협,기후변화로 인한 감염병 발생,어느정도 심각하다,"야외노동자(건설노동자, 배달노동자 등)",어느정도 자주 접한다,별로 접하지 않는다,"온라인 뉴스(포털, 온라인 신문기사)","국제기구(UN, IPCC 등)",기후변화에 취약한 계층 보호,전혀 참여하지 않았다,가끔 하고 있다,중요한 편,매우 중요하다,중요한 편,매우 중요하다,중요한 편,중요한 편,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,전혀 못하고 있다,정책 수립 과정에 적극적으로 참여해야 한다,매우 필요하다,어느 정도 열려 있다,사안에 따라 다르다,사무직,대학교(4년제),501~600만원,중
240.0,여성,52.0,50대,부산,매우 많다,매우 심각하다,"폭우, 태풍 및 장마 증가",어느정도 안다,어느정도 안다,적절한 식량과 물을 얻지 못할 우려,식량 위기(농산물 공급 부족 및 가격상승),어느정도 심각하다,경제적 취약계층,매우 자주 접한다,매우 자주 접한다,신문/방송 뉴스,신문/방송 뉴스,기후변화에 대한 인식개선과 홍보·교육,전혀 참여하지 않았다,가끔 하고 있다,중요한 편,매우 중요하다,중요한 편,중요한 편,매우 중요하다,중요한 편,어느 정도 잘하고 있다,어느 정도 하고 있다,어느 정도 충분히 제공하고 있다,별로 못하고 있다,별로 못하고 있다,정책 수립 과정에 적극적으로 참여해야 한다,매우 필요하다,어느 정도 열려 있다,의견 제안 정도 참여할 의향이 있다,사무직,전문대학(2~3년제),401~500만원,중상
241.0,여성,53.0,50대,부산,어느정도 있다,어느정도 심각하다,"폭우, 태풍 및 장마 증가",어느정도 안다,어느정도 안다,건강에 대한 잠재적 위협,식량 위기(농산물 공급 부족 및 가격상승),어느정도 심각하다,경제적 취약계층,어느정도 자주 접한다,어느정도 자주 접한다,신문/방송 뉴스,"도서, 다큐멘터리",기후변화에 대응하기 위한 인력과 예산의 확대,참여한 적이 있다,가끔 하고 있다,매우 중요하다,매우 중요하다,중요한 편,중요한 편,중요한 편,중요한 편,어느 정도 잘하고 있다,어느 정도 하고 있다,별로 못하고 있다,어느 정도 하고 있다,별로 못하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,어느 정도 열려 있다,사안에 따라 다르다,가정주부,대학교(4년제),601~700만원,중
242.0,남성,68.0,60대 이상,부산,어느정도 있다,어느정도 심각하다,"폭우, 태풍 및 장마 증가",어느정도 안다,어느정도 안다,적절한 식량과 물을 얻지 못할 우려,"태풍, 홍수, 폭우, 산불 증가 등 재난 발생",어느정도 심각하다,농·어민,어느정도 자주 접한다,어느정도 자주 접한다,"텔레비전, 라디오(팟캐스트 포함)","국제기구(UN, IPCC 등)",기후변화에 대한 인식개선과 홍보·교육,참여한 적이 있다,가끔 하고 있다,중요한 편,중요한 편,매우 중요하다,매우 중요하다,매우 중요하다,중요한 편,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,어느 정도 열려 있다,의견 제안 정도 참여할 의향이 있다,자영업,대학교(4년제),401~500만원,중
243.0,여성,63.0,60대 이상,서울,매우 많다,매우 심각하다,생태계 파괴 및 생물다양성 훼손,어느정도 안다,어느정도 안다,적절한 주거환경을 누리지 못할 우려,폭염 또는 겨울 저온 현상 등 계절 온도 변화,매우 심각하다,경제적 취약계층,매우 자주 접한다,어느정도 자주 접한다,신문/방송 뉴스,"소셜미디어(유튜브, 블로그, 등)",기후변화에 취약한 계층 보호,가능한 자주 참여했다,어느 정도 하고 있다,중요한 편,중요한 편,매우 중요하다,매우 중요하다,매우 중요하다,중요한 편,어느 정도 잘하고 있다,어느 정도 하고 있다,어느 정도 충분히 제공하고 있다,어느 정도 하고 있다,어느 정도 하고 있다,정책 수립 과정에 적극적으로 참여해야 한다,매우 필요하다,충분히 열려 있다,적극적으로 참여할 의향이 있다,공무원/교사,대학교(4년제),601~700만원,중
244.0,남성,56.0,50대,서울,매우 많다,어느정도 심각하다,"폭우, 태풍 및 장마 증가",어느정도 안다,어느정도 안다,적절한 식량과 물을 얻지 못할 우려,식량 위기(농산물 공급 부족 및 가격상승),어느정도 심각하다,경제적 취약계층,어느정도 자주 접한다,어느정도 자주 접한다,"온라인 뉴스(포털, 온라인 신문기사)",신문/방송 뉴스,기후변화에 취약한 계층 보호,전혀 참여하지 않았다,가끔 하고 있다,중요한 편,중요한 편,매우 중요하다,매우 중요하다,중요한 편,중요하지 않은 편,어느 정도 잘하고 있다,어느 정도 하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,별로 열려 있지 않다,사안에 따라 다르다,사무직,대학교(4년제),501~600만원,중
245.0,여성,51.0,50대,서울,어느정도 있다,어느정도 심각하다,"폭우, 태풍 및 장마 증가",어느정도 안다,잘 모른다,생명에 대한 잠재적 위협,"태풍, 홍수, 폭우, 산불 증가 등 재난 발생",어느정도 심각하다,경제적 취약계층,어느정도 자주 접한다,어느정도 자주 접한다,"텔레비전, 라디오(팟캐스트 포함)","국제기구(UN, IPCC 등)",기후변화에 대응하기 위한 인력과 예산의 확대,가능한 자주 참여했다,어느 정도 하고 있다,중요한 편,중요한 편,중요한 편,매우 중요하다,중요한 편,중요한 편,어느 정도 잘하고 있다,어느 정도 하고 있다,어느 정도 충분히 제공하고 있다,어느 정도 하고 있다,어느 정도 하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,어느 정도 열려 있다,의견 제안 정도 참여할 의향이 있다,판매서비스직,대학교(4년제),501~600만원,중하
246.0,남성,54.0,50대,경기,어느정도 있다,어느정도 심각하다,생태계 파괴 및 생물다양성 훼손,어느정도 안다,어느정도 안다,적절한 식량과 물을 얻지 못할 우려,"태풍, 홍수, 폭우, 산불 증가 등 재난 발생",별로 심각하지 않다,경제적 취약계층,어느정도 자주 접한다,별로 접하지 않는다,신문/방송 뉴스,신문/방송 뉴스,기후변화에 대한 인식개선과 홍보·교육,참여한 적이 있다,전혀 하지 않는다,중요한 편,매우 중요하다,중요한 편,매우 중요하다,매우 중요하다,중요한 편,어느 정도 잘하고 있다,충분히 하고 있다,어느 정도 충분히 제공하고 있다,어느 정도 하고 있다,별로 못하고 있다,의견 수렴에 참여해야 한다,매우 필요하다,어느 정도 열려 있다,의견 제안 정도 참여할 의향이 있다,사무직,대학교(4년제),501~600만원,중
247.0,여성,54.0,50대,강원,어느정도 있다,매우 심각하다,폭설 또는 강설일수 감소,어느정도 안다,어느정도 안다,생명에 대한 잠재적 위협,"태풍, 홍수, 폭우, 산불 증가 등 재난 발생",어느정도 심각하다,경제적 취약계층,어느정도 자주 접한다,어느정도 자주 접한다,"온라인 뉴스(포털, 온라인 신문기사)","환경단체 등 시민단체(그린피스, wwf, 환경운동연합 등)",기후변화에 대한 인식개선과 홍보·교육,가능한 자주 참여했다,어느 정도 하고 있다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,중요한 편,매우 중요하다,어느 정도 잘하고 있다,어느 정도 하고 있다,어느 정도 충분히 제공하고 있다,별로 못하고 있다,어느 정도 하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,어느 정도 열려 있다,의견 제안 정도 참여할 의향이 있다,사무직,전문대학(2~3년제),201~300만원,중
248.0,남성,58.0,50대,인천,매우 많다,매우 심각하다,폭염 강도 및 일수 증가,어느정도 안다,어느정도 안다,생명에 대한 잠재적 위협,기후변화로 인한 감염병 발생,어느정도 심각하다,경제적 취약계층,어느정도 자주 접한다,어느정도 자주 접한다,"도서, 다큐멘터리","도서, 다큐멘터리",기후변화에 관한 국제협력 증진,전혀 참여하지 않았다,가끔 하고 있다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,어느 정도 잘하고 있다,어느 정도 하고 있다,어느 정도 충분히 제공하고 있다,어느 정도 하고 있다,어느 정도 하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,어느 정도 열려 있다,의견 제안 정도 참여할 의향이 있다,사무직,고등학교,401~500만원,중하
249.0,여성,41.0,40대,전북,어느정도 있다,어느정도 심각하다,"폭우, 태풍 및 장마 증가",잘 모른다,잘 모른다,생명에 대한 잠재적 위협,식량 위기(농산물 공급 부족 및 가격상승),어느정도 심각하다,농·어민,어느정도 자주 접한다,어느정도 자주 접한다,"소셜 미디어(유튜브, 블로그, 인스타그램)","국제기구(UN, IPCC 등)",기후변화에 대한 인식개선과 홍보·교육,가능한 자주 참여했다,어느 정도 하고 있다,매우 중요하다,매우 중요하다,중요한 편,매우 중요하다,매우 중요하다,중요한 편,어느 정도 잘하고 있다,충분히 하고 있다,어느 정도 충분히 제공하고 있다,어느 정도 하고 있다,어느 정도 하고 있다,정책 수립 과정에 적극적으로 참여해야 한다,매우 필요하다,충분히 열려 있다,적극적으로 참여할 의향이 있다,사무직,전문대학(2~3년제),601~700만원,중하
250.0,남성,64.0,60대 이상,경북,매우 많다,매우 심각하다,"폭우, 태풍 및 장마 증가",어느정도 안다,잘 모른다,생명에 대한 잠재적 위협,기후변화로 인한 감염병 발생,매우 심각하다,농·어민,매우 자주 접한다,별로 접하지 않는다,"온라인 뉴스(포털, 온라인 신문기사)","환경단체 등 시민단체(그린피스, wwf, 환경운동연합 등)",기후변화에 관한 국제협력 증진,참여한 적이 있다,가끔 하고 있다,중요한 편,매우 중요하다,매우 중요하다,매우 중요하다,중요한 편,중요한 편,어느 정도 잘하고 있다,별로 못하고 있다,별로 못하고 있다,전혀 못하고 있다,전혀 못하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,별로 열려 있지 않다,의견 제안 정도 참여할 의향이 있다,기술/작업직,대학교(4년제),701~800만원,중하
251.0,남성,63.0,60대 이상,부산,어느정도 있다,매우 심각하다,생태계 파괴 및 생물다양성 훼손,어느정도 안다,잘 모른다,적절한 식량과 물을 얻지 못할 우려,폭염 또는 겨울 저온 현상 등 계절 온도 변화,어느정도 심각하다,"신체적 취약계층(노인, 장애인 등)",어느정도 자주 접한다,별로 접하지 않는다,신문/방송 뉴스,"도서, 다큐멘터리",기후변화에 대응하기 위한 인력과 예산의 확대,전혀 참여하지 않았다,가끔 하고 있다,중요한 편,중요한 편,매우 중요하다,중요한 편,중요한 편,중요한 편,전혀 못하고 있다,전혀 못하고 있다,전혀 못하고 있다,전혀 못하고 있다,전혀 못하고 있다,의견 수렴에 참여해야 한다,별로 필요없다,별로 열려 있지 않다,사안에 따라 다르다,무직/은퇴,대학원 이상(석/박사),301~400만원,중
252.0,남성,29.0,20대,경북,매우 많다,매우 심각하다,생태계 파괴 및 생물다양성 훼손,잘 모른다,잘 모른다,적절한 주거환경을 누리지 못할 우려,기후변화로 인한 감염병 발생,어느정도 심각하다,경제적 취약계층,어느정도 자주 접한다,별로 접하지 않는다,"온라인 뉴스(포털, 온라인 신문기사)",신문/방송 뉴스,기후변화에 대응하기 위한 기술 개발 지원,전혀 참여하지 않았다,전혀 하지 않는다,중요한 편,매우 중요하다,중요한 편,매우 중요하다,중요한 편,중요한 편,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,전혀 못하고 있다,의견 수렴에 참여해야 한다,매우 필요하다,별로 열려 있지 않다,사안에 따라 다르다,사무직,대학교(4년제),301~400만원,중하
253.0,남성,41.0,40대,경기,어느정도 있다,어느정도 심각하다,생태계 파괴 및 생물다양성 훼손,잘 모른다,잘 모른다,적절한 식량과 물을 얻지 못할 우려,식량 위기(농산물 공급 부족 및 가격상승),어느정도 심각하다,농·어민,별로 접하지 않는다,별로 접하지 않는다,"텔레비전, 라디오(팟캐스트 포함)",신문/방송 뉴스,기후변화에 관한 국제협력 증진,전혀 참여하지 않았다,전혀 하지 않는다,중요하지 않은 편,중요한 편,중요한 편,중요한 편,중요한 편,중요한 편,어느 정도 잘하고 있다,어느 정도 하고 있다,어느 정도 충분히 제공하고 있다,어느 정도 하고 있다,별로 못하고 있다,의견 수렴에 참여해야 한다,매우 필요하다,별로 열려 있지 않다,사안에 따라 다르다,무직/은퇴,고등학교,101~200만원,중
254.0,남성,57.0,50대,전남,매우 많다,어느정도 심각하다,폭염 강도 및 일수 증가,어느정도 안다,어느정도 안다,생명에 대한 잠재적 위협,폭염 또는 겨울 저온 현상 등 계절 온도 변화,어느정도 심각하다,경제적 취약계층,어느정도 자주 접한다,별로 접하지 않는다,"텔레비전, 라디오(팟캐스트 포함)",신문/방송 뉴스,기후변화에 대응하기 위한 인력과 예산의 확대,전혀 참여하지 않았다,전혀 하지 않는다,중요한 편,매우 중요하다,중요한 편,매우 중요하다,중요한 편,중요한 편,어느 정도 잘하고 있다,어느 정도 하고 있다,어느 정도 충분히 제공하고 있다,어느 정도 하고 있다,별로 못하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,별로 열려 있지 않다,사안에 따라 다르다,전문직,대학교(4년제),501~600만원,중
255.0,여성,36.0,30대,경기,어느정도 있다,매우 심각하다,생태계 파괴 및 생물다양성 훼손,어느정도 안다,잘 모른다,건강에 대한 잠재적 위협,식량 위기(농산물 공급 부족 및 가격상승),어느정도 심각하다,경제적 취약계층,어느정도 자주 접한다,별로 접하지 않는다,"온라인 뉴스(포털, 온라인 신문기사)","도서, 다큐멘터리",기후변화에 대응하기 위한 인력과 예산의 확대,참여한 적이 있다,가끔 하고 있다,중요한 편,매우 중요하다,매우 중요하다,매우 중요하다,중요한 편,중요한 편,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,정책 수립 과정에 적극적으로 참여해야 한다,어느 정도 필요하다,어느 정도 열려 있다,사안에 따라 다르다,사무직,대학교(4년제),601~700만원,중
256.0,여성,25.0,20대,서울,어느정도 있다,매우 심각하다,폭염 강도 및 일수 증가,어느정도 안다,매우 잘 안다,적절한 식량과 물을 얻지 못할 우려,기후변화로 인한 감염병 발생,어느정도 심각하다,경제적 취약계층,어느정도 자주 접한다,매우 자주 접한다,"온라인 뉴스(포털, 온라인 신문기사)",신문/방송 뉴스,기후변화에 관한 국제협력 증진,전혀 참여하지 않았다,전혀 하지 않는다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,매우 중요하다,별로 못하고 있다,어느 정도 하고 있다,별로 못하고 있다,별로 못하고 있다,전혀 못하고 있다,의견 수렴에 참여해야 한다,어느 정도 필요하다,어느 정도 열려 있다,의견 제안 정도 참여할 의향이 있다,판매서비스직,전문대학(2~3년제),301~400만원,중하
257.0,남성,34.0,30대,인천,별로 없다,어느정도 심각하다,폭염 강도 및 일수 증가,잘 모른다,잘 모른다,생명에 대한 잠재적 위협,"태풍, 홍수, 폭우, 산불 증가 등 재난 발생",별로 심각하지 않다,농·어민,별로 접하지 않는다,별로 접하지 않는다,"텔레비전, 라디오(팟캐스트 포함)",신문/방송 뉴스,기후변화에 관한 국제협력 증진,전혀 참여하지 않았다,전혀 하지 않는다,중요한 편,중요한 편,중요한 편,중요한 편,매우 중요하다,중요한 편,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,별로 못하고 있다,수립과정 공개 정도로 충분하다,어느 정도 필요하다,별로 열려 있지 않다,참여할 의향이 없다,자영업,대학교(4년제),101~200만원,중하
